timestamp,event_type,model_id,model_name,duration_ms,notes
2026-06-21T11:00:00Z,model_load,a8e731196ce6a771,Llama-3.2-1B-Instruct-Q4_0,29455,"CPU-only load (device: cpu); loaded from local cache while offline (HEAD request failed, GGUF header validation fallback used successfully)"
2026-06-21T11:00:30Z,completion,a8e731196ce6a771,Llama-3.2-1B-Instruct-Q4_0,127538,"Generate route - text generation request, CPU inference"
2026-06-21T11:22:00Z,model_load,a8e731196ce6a771,Llama-3.2-1B-Instruct-Q4_0,4576,"CPU-only load, model already cached on disk"
2026-06-21T11:22:05Z,completion,a8e731196ce6a771,Llama-3.2-1B-Instruct-Q4_0,56603,"Generate route - text generation request, CPU inference"
2026-06-21T11:22:14Z,model_load,2eb9db6710d6fc5d,bge-base-en-v1.5,3633,"Embedding model load for continuity checker (lazy-loaded on first use), CPU inference"
2026-06-21T11:22:14Z,rag_ingest,2eb9db6710d6fc5d,bge-base-en-v1.5,1469,"ragIngest - chunking and embedding 2 scenes into RAG workspace"
2026-06-21T11:22:14Z,embeddings,2eb9db6710d6fc5d,bge-base-en-v1.5,828,"Single embedding call within ragIngest"
2026-06-21T11:22:15Z,rag_search,2eb9db6710d6fc5d,bge-base-en-v1.5,70,"ragSearch query 1/6 - character names and descriptions"
2026-06-21T11:22:15Z,rag_search,2eb9db6710d6fc5d,bge-base-en-v1.5,56,"ragSearch query 2/6 - locations and scene settings"
2026-06-21T11:22:15Z,rag_search,2eb9db6710d6fc5d,bge-base-en-v1.5,61,"ragSearch query 3/6 - time of day"
2026-06-21T11:22:15Z,rag_search,2eb9db6710d6fc5d,bge-base-en-v1.5,60,"ragSearch query 4/6 - props and objects"
2026-06-21T11:22:15Z,rag_search,2eb9db6710d6fc5d,bge-base-en-v1.5,71,"ragSearch query 5/6 - character relationships"
2026-06-21T11:22:15Z,rag_search,2eb9db6710d6fc5d,bge-base-en-v1.5,62,"ragSearch query 6/6 - clothing and physical appearance"
2026-06-21T11:22:16Z,completion,a8e731196ce6a771,Llama-3.2-1B-Instruct-Q4_0,12414,"Continuity checker - fact extraction pass (NAME/WEAPON/CLOTHING/LOCATION), CPU inference"
